"nummer","datum_ca","typ","geteilt_von","thema","zusammenfassung","kernaussagen","engagement","originaltext"
"1","2026-06 (vor 1 Woche)","Eigener Beitrag","","KI als Sparringspartner & Priorisierung","Robin beschreibt, dass die eigentliche Priorität darin liegt, mit KI mitzudenken und ihre Vorschläge unvoreingenommen zu hinterfragen, statt sie blind zu befolgen. KI denke an das, was gut für den Menschen wäre, aber der eigentliche Hebel sei die Skalierbarkeit. Er kritisiert Beiträge, die Produkt und Daten über KI stellen.","KI wie einen schlauen Kollegen anhören und gezielt lenken / Skalierbarkeit von KI ist der eigentliche Produktivitätshebel / Out-of-the-box-Denken schlägt Daten- und Produkt-Dogmen / Technische Forschungstrends (Nerds wie Karpathy) sind entscheidend","32 Impressions, 2 Kommentare, 1 Reaktion","GENAU DAS sind für mich die eigentlichen PRIORITÄTEN 🎯 🏋🏻‍♂️ / Die mit KI mitgedachten Fragen zu stellen und damit Antworten zu bekommen, die auf den ersten Blick komplett in eine andere Richtung gehen, als es die KI selbst vorgeschlagen hat. 🤔 / Man muss eigentlich sehr gut darin sein, den Gegenüber anzuhören, in dem Fall die KI. Und unvoreingenommen darüber nachzudenken, ob das Sinn macht, was sie sagt, oder wir in eine ganz andere Richtung gehen können. 😉 / Tatsächlich wie mit einem guten Kollegen, dem man geduldig zuhört und den man dann auch nicht ablenkt, sondern denen man gezielt in eine andere Richtung lenkt, weil man weiß, der Kollege ist eigentlich schlau, aber er sollte sich mal genau mit meinem Gedankengang in eine andere Richtung bewegen. 🤝 / Man muss gut darin sein, zu reflektieren 🪞 und zu lenken 👨‍🍳. / Weil die KI nicht daran denkt, was wirklich gut wäre, sondern die Modelle denken aktuell eher, was wirklich gut für den Menschen wäre. Und das ist ein großer Fehler, weil die Skalierbarkeit von KI ist der eigentliche Hebel, der die Produktivität erst in eine ganz andere Liga hebt. 🏆 ⬆️ / Und hier auf LinkedIn sehe ich immer noch immer wieder diese nervigen Beiträge von wegen: Du kannst keine KI machen, wenn du dein Produkt nicht an erster Stelle setzt. Wenn deine Daten nicht mitspielen .... ?! 😴 / Wen zum Teufel scheren deine Daten, wenn du nicht mit deinen Mitbewerbern mithalten kannst, weil du nicht neu denkst .... ?! 🤷‍♂️ / Leute, das nervt total. Es stimmt doch einfach nicht. Es geht doch darum, dass wir auf die neuen Märkte, auf die neuen Produktmöglichkeiten schauen und als oberstes Ziel haben wir doch die größte Qualität im Produkt und auch die beste Idee als das Produkt selbst im aktuellen Markt. 📈 / Es geht doch die Trends. Das ist doch diese eine etablierte Sache, die unmittelbar bevor KI da war  gut funktioniert hat (SEO, Marktstrategien, Social Media). / Aber dieses Mal sind es halt nicht nur menschliche Interessenstrends, sondern es sind vor allen Dingen technische und laborative Forschungstrends. / Es sind die Nerds, die Dinge sagen, die alle interessieren. Aber nur weil diese noch frei denken können. 🌌 / Leute wie Andrew Karpathy 🫡 / Für mich sind die Leute, die wirklich gut mit KI arbeiten, die Leute, die wirklich gute Ideen haben, und die out of the box denken. 🥊"
"2","2026-06 (vor 1 Woche)","Repost mit Kommentar","Sabina Iwona Pawlowska (Content Managerin / Personal Branding)","KI-Authentizität & Profilbilder","Robin verteidigt sein KI-generiertes Profilbild als maximal authentisch, weil es ihn und seine Idee in seiner Welt zeigt. Er vergleicht das Argument der Unauthentizität mit der Behauptung, ein Künstler dürfe nur mit Ölfarben malen. KI-Werkzeuge seien nur eine Frage der Perspektive und der Werkzeugwahl.","Authentizität entscheidet die Idee, nicht das Werkzeug / KI-Bilder können authentischer sein als retuschierte Studiofotos / Inspiration und Idee zeigen das Ergebnis, nicht das Medium / Kleingeister brauchen feste Strukturen, weil Denkfreiheit überfordert","46 Impressions","Ich habe in meinem Profilbild als Vorlage vier echte Bilder genommen, aus denen ich die einzelnen Elemente haben wollte: der perfekte Haarschnitt, die typische Jacke für draußen, die typische freundliche Pose und ein weiteres Bild, um ein bisschen mehr Details mitzunehmen. / Das habe ich dann in eine neue Szene einfügen lassen: inspiriert von dem Raum von Geist und Zeit aus Dragonball. / Das Ergebnis kannst du auf LinkedIn sehen und ich finde es genial. / Ich finde es maximal authentisch weil es das präsentiert was ich zeigen will. Mich und meine Idee in meiner Welt. Und da hat niemand was zu sagen, außer ich. Das ist für mich Freiheit. / Ich war lediglich mental in meinem Kopf im Raum von Geist und Zeit am Trainieren. Niemals aber in der wirklichen Welt, weil es dort den Raum nicht gibt. / Dennoch finde ich mein Bild extrem authentisch. / Und die Details der anderen Bilder habe ich genommen weil sie mich gut widerspiegeln. / Dieses Argument, dass es nicht authentisch wäre, ki generierte Dinge zu kreieren ist genauso wie als würde ich sagen, dass ein Künstler nur mit Ölfarben malen darf aber nicht mit Stift oder anderen Werkzeugen und Hilfsmitteln. / Ich weiß nicht, ob du mal früher Art-Attack gesehen hast aber ich denke das zeigt ziemlich gut, dass alles immer eine Frage der Perspektive und der Werkzeuge ist und die Ideen und die Inspiration das Ergebnis zeigen. / Und bei menschlichen Kleingeistern zeigt es auf wundersame Weise dass nicht jeder ein selbst denkender Mensch ist. Manche brauchen feste Strukturen, weil sie Freiheit im Denken überfordert."
"3","2026-06 (vor 2 Wochen)","Repost mit Kommentar","Alex Gutjahr (Founder @ speedrun)","Vereinfachung: Idee vor Tests & Datenbank","Robin argumentiert für radikale Vereinfachung beim Prototyping: erst das perfekte Produkt bzw. die Idee, Tests und Datenbank später. Wer gerne mit KI arbeitet, ist sein eigener bester Kunde. Mit KI würden menschliche Stärken und Priorisierung wichtiger.","Erst das perfekte Produkt / die Idee, Tests danach / Datenbank erst anschließen, wenn man sie wirklich braucht (spart viel Zeit) / Man ist der beste Kunde für seine Sache, wenn man gerne mit KI arbeitet / Durch AI werden Stärken, Unvoreingenommenheit, Weitsicht und Priorisierung wichtiger","45 Impressions, 1 Reaktion","Eine Sache, die mir dabei aber sehr gut gefällt, ist folgende Frage: / Was ist wichtiger? Die perfekten Tests für ein langweiliges Produkt oder zuerst das perfekte Produkt noch ohne Tests. Und die Tests dann hinterher. / Ein weiteres Vereinfachungs-Beispiel. Brauchst du direkt eine Datenbank wenn du so schnell Prototypen machst oder wäre es nicht smarter, zuerst den Fokus auf die Idee zu legen um im Nachhinein dadurch, dass man so viel Zeit spart, erst die DB anschließt und dann ein vielleicht viel viel schöneres Datenbank Design hinzubekommen. / Dann würde man ja auf einmal unglaublich viel Zeit sparen, weil man die Datenbank erst mal außen vorgelassen hat. Bis zu dem Zeitpunkt, wo man sie wirklich braucht. / Und man konnte gleichzeitig den Fokus erst mal auf die Idee setzen und auf das Projekt und auf den Kunden. / Und welche Ideen sind für einen Kunden eigentlich am wertvollsten? Vielleicht genau diese Ideen die einen auch selbst überzeugen, weil man der beste Kunde für seine Sache ist, wenn man gerne mit ki arbeitet? Und man so andere auch abholen kann, wenn sie auch gerne mit KI arbeiten? / Meine Erfahrung: Viele gute Dinge inklusive Stärken und Besonderheiten eines Menschen werden durch AI wichtiger. / Auch Unvoreingenommenheit und Weitsicht. / Aber auch die Priorisierung der eigenen Ziele."
"4","2026-06 (vor 2 Wochen)","Repost mit Kommentar","Steffen Lay (Chief AI Officer / Autor)","KI-Token-Kosten & Effizienz","Reaktion auf einen Beitrag über subventionierte KI-Kosten. Robin hält dagegen, dass bessere Modelle effizienter werden und er durch maximalen Qualitätsfokus im Kontextfenster viele Tokens spart. Er betont, dass diese Kompetenz nur durch Erfahrung, nicht durch Uni-Wissen entsteht.","Je besser die Modelle, desto effizienter und wertbringender / Maximaler Qualitätsfokus im Kontextfenster spart enorm Tokens / Der nötige Harness landet irgendwann in den Modellen selbst / Agentic-Engineering-Kompetenz lernt man durch Erfahrung, nicht aus Büchern","54 Impressions","Die Rechnung kennt jeder in dem Bereich der sich ernsthaft mit ki auseinandergesetzt hat. / Das bedeutet aber nicht, dass man automatisch daraus schließen kann, dass das Ganze so bleibt, wie es jetzt ist. / Ganz im Gegenteil: je besser die Modelle werden, umso effizienter und auch stärker und Wert bringender werden sie auch. / Und wenn ich mir alleine überlege, wie viel Tokens ich spare nur, weil ich maximal Fokus auf Qualität in den Kontext-Fenstern lege und in weniger Zeit und Tokens genau das zu erreichen, was ich will, obwohl ich Max Abo Nutzer bin. Dann denke ich da geht sehr sehr viel. / Man muss nur wissen, wie. Und das muss man dann wiederum der K.I. selbst beibringen. Das ist der Harness, den man braucht. Und er landet irgendwann zwangsläufig in den Modellen selbst. / Ja, letztendlich geht es aktuell um viel Geld und ich fühle mich als einer der wenigen die sehen, wie man morgen zwangsläufig mehr Tokens sparen wird, um die Qualität sogar noch weiter zu heben. / Ich finde mittlerweile gar keine Worte mehr dafür, warum Leute aktuell händeringend nach Anderen Leuten suchen die in der Uni etwas in der Richtung gelernt haben was sich nur auf Basis von Erfahrung lernen lässt und nicht auf Basis von Wissen aus einem Buch. / Dieses neue Studium geht auf Basis von Erfahrungen seit Agentic Engineering möglich ist. / Lang lebe die immernoch „Anfangszeit“ des Agentic Engineering 😄 / Du spürst die Prioritäten instinktiv. / Und das erklär mal den Leuten die nur 💵 interessiert. 😅"
"5","2026-06 (vor 2 Wochen)","Repost mit Kommentar","Alexander Schell (Gründer Activate Media)","Claude Code Potenziale ausschöpfen","Reaktion auf einen Beitrag über Open-Source-Alternativen zu Claude Code. Robin meint, wer denkt, der Abstand zu Claude Code werde kleiner, schöpft dessen Potenziale nicht aus. Er deutet eigenes, nicht-feature-basiertes Erfahrungswissen mit mehreren Open-Source-KI-Projekten an.","Geringer Abstand zu Claude Code = ungenutzte Potenziale / Entscheidend ist kein Feature, sondern Erfahrung mit erfolgversprechenden Ansätzen / Erfolg liegt in der Vorgehensweise mit mehreren Open-Source-KI-Projekten","55 Impressions, 2 Reaktionen","Ich denke gerade, wenn man denkt, man könnte mit Claude Code einfach mithalten oder der Abstand würde kleiner werden dann könnte das auch ein Indikator dafür sein dass man nicht alle Potenziale von Claude Code ausnutzt. / Das bringt mich auf jeden Fall auf diese Idee. 🙂 / Ich wüsste mindestens eine Sache die super wichtig ist und vermutlich so gut, wie niemand auf dem Schirm hat weil sie kein direktes Feature ist sondern, naja, sagen wir Erfahrung bezüglich erfolgversprechenden angehensweisen mit mehreren Open Source Ki Projekten 😉"
"18","2026-05 (vor 1 Monat)","Repost mit Kommentar","Philipp Deutscher (CTO Sparring / Podcasthost)","LLMs als Wahrscheinlichkeitssysteme & AGI","Robin erklärt, dass LLMs Wahrscheinlichkeitssysteme sind, die auf menschlichen Trainingsdaten basieren und sich fragen, was ein Mensch getan hätte. Den Weg zu mehr Fähigkeit sieht er nur über gut ausgestattete Agent-Harnesses und Systeme, nicht über einen einzelnen Agenten.","LLMs funktionieren so, weil wir so sind (Trainingsdaten) / Den Agent-Harness mit Wissen und Fokus ausstatten / Lösung ist ein System, nicht ein einziger Agent / Lernfähige Menschen sind das beste Trainingsdaten-Vorbild für KI","54 Impressions","Llm sind immernoch Wahrscheinlichkeits-Systeme. / Sie funktionieren so weil wir so sind. / Ein LLM wird sich immer fragen: was hätte ein Mensch gemacht. Weil das sind seine Trainingsdaten! / Willst du einen über Menschen: dann überleg dir was der braucht. Und versuch ihn im Agent Harness mit dem notwendigen Wissen und Fokus auszustatten. / Einen anderen Weg haben wir nicht. Weil die Trainingsdaten fehlen. / Aber ich denke trotzdem wir können das System dahin bringen. Aber als System und nicht als ein einziger Agent. / Genau das mache ich! Systeme Entwickeln. Als Agentic Engineer. / Und jetzt kannst du dich selbst fragen warum oder aber akzeptieren und verstehen. 🤷‍♂️ / Wen man lernfähig ist, ist man die beste Version eines Menschen. Und kann das beste Trainingsdaten-Vorbild für KI sein. / Vielleicht garnicht mehr solange hin bis AGI oder? 😉"
"19","2026-05 (vor 1 Monat)","Repost mit Kommentar","Alexander Weipprecht (KI-Entwickler & Unternehmer)","AI First: KI über das Produkt stellen","Robin definiert AI First als das Stellen der KI über das Produkt: Produktentscheidungen werden gemeinsam mit der KI getroffen, KI-Potenziale immer wieder neu bewertet. Der Schlüssel liegt in Vereinfachung, Lösungsfokus und dem Hinterfragen von allem bis zum Produkt selbst.","AI First = KI über das Produkt stellen, nicht nur integrieren / Weniger ist besser, wenn es das Produkt flexibler hält / KI-Potenziale immer wieder neu bewerten / Empirisch alles hinterfragen, jede Expertise bis zur obersten Ebene","826 Impressions, 1 Reaktion","Der Schlüssel liegt für mich vor allen Dingen in der Vereinfachung von Problemen und einem klaren Fokus auf Lösungen. / Weniger ist besser, wenn du damit dein Produkt flexibler halten kannst. / Du wirst dich auch immer wieder neu auf den Markt einstellen müssen, wenn morgen oder übermorgen neue Konkurrenz auftaucht. / AI First bedeutet für mich sogar, die KI über das Produkt zu stellen. Und das bedeutet, dass man alles, was man für ein Produkt entscheidet, letztendlich für die KI gemeinsam mit dem Produkt entscheidet. / Wenn man aber das Produkt an die erste Stelle setzt und sagt, so muss das Produkt sein, dann wird KI dafür möglicherweise nicht optimal sein, weil sich KI in allen Bereichen schneller entwickelt als das Produkt selbst. / AI First bedeutet für mich, dass man die Potenziale von KI immer wieder neu bewertet und in die Produktidee einfließen lässt. Das Produkt mit KI als Priorität, also AI First, nicht ohne die bestmögliche AI-Performance. / Und das ist meine Basis mit empirischer KI-Entwicklung und AI First: nicht nur ein oder zwei Dinge zu hinterfragen, sondern immer absolut alles zu hinterfragen — jede Expertise, jede Stelle, jede Position bis hin zur obersten Ebene, bis hin zum Produkt selbst."
"20","2026-05 (vor 1 Monat)","Repost mit Kommentar","Kristina Seibel (AI, Automation & Digital Transformation)","Beide Welten vereinen & AGI-Definition","Robin plädiert dafür, altes Wissen mit neuem Ausprobieren zu vereinen statt einseitig auf Experten-Status zu setzen. Erfolgreich werde, wer altes Wissen nutzt, um sich selbst zu hinterfragen. Ein KI-Agent, der das könnte, wäre seine aktuell beste AGI-Definition. Der Mensch bleibt unverzichtbar, weil er am besten weiß, was er will.","Beide Welten vereinen statt einseitig zu denken / Expertise schwer aufzubauen, wenn Technologie sich täglich ändert / Beste AGI-Definition: KI, die altes Wissen nutzt, um sich selbst neu zu evaluieren / Mensch bleibt wertvoll, weil er am besten weiß, was er will, und den Prozess überwacht","144 Impressions, 2 Kommentare, 2 Reaktionen","Ich finde, man sollte beide Welten miteinander vereinen und nicht einseitig denken. Das ist wohl das größte Problem, das wir haben. / Man hat die letzten Jahrzehnte gelernt, dass man sich erst einmal Experte schimpfen muss, bevor man etwas bewegen kann und will deswegen jetzt auch direkt Experte genannt werden. / Aber wie will man eine Expertise aufbauen, wenn sich die Technologie selbst jeden Tag weiterentwickelt? / Man braucht eigentlich eher die Dinge, die so ein Experte vielleicht gar nicht so von Haus aus hat oder mitbringen muss, wie vorausdenken, Dinge anders machen, Dinge ausprobieren und sich nicht rein auf Erfahrungen und Wissen der letzten Jahre oder gar Jahrzehnte verlassen. / Und das ist der Punkt. / Meiner Meinung nach werden die am erfolgreichsten sein, die das Wissen von früher verstehen, haben und nutzen um sich selbst in genau diesen Wissen zu hinterfragen und neu zu evaluieren. / Ein KI-Agent, der das könnte, wäre eine wahrhafte Superkraft mit KI und meiner Meinung nach die aktuell beste Definition von AGI. / Man redet aktuell die ganze Zeit über KIs, die selbst lernen und die forschen und die vollautonom wie eine Fabrik laufen, bei der man das Licht ausschalten kann weil kein Mensch mehr im Raum ist. / Was man nicht dabei vergessen darf, ist die Tatsache, dass wir am besten wissen, was wir wollen. Dann fehlt uns nur noch der eine Schritt auf eine KI hinzuarbeiten, die uns genauso versteht, wie wir uns verstehen. / Wenn du das kannst, kannst du nicht überflüssig werden als Mensch. Du wirst der Mensch, der am besten mit KI arbeitet."
"21","2026-04 (vor 2 Monaten)","Eigener Beitrag","","Echte KI-Kompetenz: Engineering + KI","Robin warnt, dass KI-Stimmen oft entweder verkaufen oder pauschal abwerten, statt aus echter technischer Praxis einzuordnen. Echte KI-Expertise entsteht dort, wo Software Engineering und KI zusammen gedacht werden – empirisch, testgetrieben, aus Entwicklung statt Vertrieb. Er zeigt eine saubere Commit-Struktur als Beleg.","Echte KI-Expertise = Software Engineering und KI zusammen denken / Nicht ideologisch, sondern testgetrieben und aus Praxis / KI darf nicht on top gedacht werden / Echte Kompetenz zeigt sich in sauberer, strukturierter Entwicklung trotz Tempo","515 Impressions, 16 Kommentare, 5 Reaktionen","Gerade beim Thema KI sehe ich ein Problem besonders deutlich 👀 / Oft sind ausgerechnet die Stimmen am lautesten, die KI entweder vor allem verkaufen oder pauschal abwerten — aber nicht sauber aus echter technischer Praxis einordnen. / Genau das halte ich für gefährlich. / Sinnvolle KI-Expertise entsteht nicht dort, wo KI nur als Vertriebsthema behandelt wird. / Und auch nicht dort, wo man sie aus reiner Abwehrhaltung beurteilt. / Sie entsteht dort, wo Software Engineering und KI zusammen gedacht werden. / Wer KI ernsthaft bewerten, bauen und in Unternehmen integrieren will, braucht beides: starke Software-Engineering-Basics und die Bereitschaft, die eigene Arbeitsweise durch KI empirisch neu zu denken. / Nicht KI einfach oben drauf setzen. Nicht alte Denkmuster nur neu verpacken. Sondern jede relevante Erfahrung mit KI neu durchdenken — und dabei technische Erfahrung gezielt nutzen. / So bin ich auch selbst an das Thema herangegangen: nicht ideologisch, sondern testgetrieben. Nicht aus Bauchgefühl, sondern aus Praxis. Nicht aus Vertrieb, sondern aus Entwicklung. / Diese empirische Art zu arbeiten hat im Software Engineering schon immer funktioniert. Mit KI wird sie nicht unwichtiger, sondern wichtiger. / Unternehmen werden KI nicht nachhaltig integrieren, wenn sie das Thema primär vertrieblich denken. / Genau diese Verbindung fehlt mir an vielen Stellen — gerade auch in Deutschland 🇩🇪 / KI darf nicht „on top"" gedacht werden. Sie muss mit echter technischer Substanz zusammen aufgebaut werden. / Das Bild unten zeigt für mich einen Ausschnitt davon 💡 saubere Commit-Struktur, klare thematische Schnitte, nachvollziehbare Abhängigkeiten und eine Entwicklung, die trotz Tempo nicht im Chaos endet. / Genau dort beginnt für mich echte KI-Expertise: wenn Geschwindigkeit nicht auf Kosten von Struktur geht, sondern aus technischer Klarheit entsteht."
"22","2026-04 (vor 2 Monaten)","Repost mit Kommentar","The Morpheus (Video, im Kommentar referenziert)","KI-Aufsicht vs. autonomes Fahren","Robin widerspricht dem Vergleich Mensch-überwacht-Maschine mit autonomem Fahren. Bei KI-Entwicklung könne man nach Zeitintervallen prüfen, Fehler ausbessern und wieder auf Automodus schalten, während man parallel weitere Agenten in den Vordergrund schiebt. Die Kernfähigkeit eines Agentic Engineers sei das Sehen und Hineinlenken von Ideen.","KI-Aufsicht ist anders als autonomes Fahren – man kann intervallweise prüfen / Mehrere Agenten parallel betreuen und Ideen entwickeln / Kernfähigkeit: Ideen sehen, ausarbeiten und in KI hineinlenken / Je mehr Vertrauen in die KI, desto bessere Qualität","122 Impressions","Mein Kommentar: (Via 🤖check✅📲 😉) / Das interessante Video von ""The Morpheus"", das ich gerade gesehen habe, bringt mich über eine Sache zum Nachdenken, bei der ich aber an einem entscheidenden Punkt anders denke als er aktuell: / „Der gefährliche Mittelweg Mensch überwacht Maschine ist aber genau das, was wir gerade in der gesamten Wissensarbeit machen. Und die Automobilindustrie hat bereits bewiesen, dass sowas nicht funktionieren kann.“ / Ich würde aber KI-Entwicklungen, wenn man es richtig macht, nicht mit passivem Fahren und dabei zuschauen vergleichen, um im Notfall zu reagieren. Bei einer KI, die fehlschlägt, kannst du auch einfach nach dieser einen Stunde hingehen, schauen, ob es funktioniert oder ob es einen Fehler gab, den Fehler ausbessern und wieder auf Automodus schalten. / Deswegen, das ist durchaus deutlich anders als beim Autofahren. Und deswegen funktioniert dieser Vergleich zwischen autonomem Autofahren und halbautonomem Fahren dort sehr gut, aber bei der Entwicklung eben nicht, weil wir auf Basis von einer Sache, die im Hintergrund arbeitet, auch eine andere Sache machen können, die wir in den Vordergrund schieben. / Also immer wieder neue Agents zu bauen, die dann noch weiter andere Sachen machen und deine ganzen Projekte quasi gleichzeitig zu betreuen und dabei Ideen zu entwickeln. Ich denke, das ist das Wichtigste, was ein Agentic-Engineer haben muss. Die Fähigkeit, Ideen zu sehen, die das Projekt voranbringen, diese auszuarbeiten, diese in KI reinzulenken und damit dann die Potenziale freizuschalten. / Und je mehr du deiner KI vertrauen kannst, umso besser. Man muss echtes Vertrauen in die KI schaffen, indem man lernt, wie man richtig promptet und gut mit KI dirigiert."
